id,unix_utc,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,boost,bonus
1338778,1770186300,12,13,14,16,23,26,30,33,36,41,42,43,46,47,51,57,63,65,66,79,2,65
1338779,1770186600,10,13,16,24,27,33,38,39,44,46,48,49,51,54,58,64,67,70,72,76,1,33
1338780,1770186900,7,10,13,14,22,25,37,43,47,52,53,57,60,62,66,68,69,70,73,80,2,62
1338781,1770187200,2,8,9,13,14,18,24,29,30,33,37,48,51,52,55,61,63,65,72,77,2,18
1338782,1770187500,1,3,11,12,15,18,24,27,34,35,40,41,44,45,48,49,62,73,78,80,1,18
1338783,1770187800,2,9,13,16,22,26,28,29,46,47,48,50,51,52,53,54,65,72,75,76,1,22
1338784,1770188100,5,11,15,20,21,23,26,33,39,41,42,51,55,59,60,61,70,76,79,80,1,15
1338785,1770188400,3,6,27,30,37,38,43,51,53,55,57,60,61,62,71,72,75,77,79,80,2,72
1338786,1770188700,3,13,23,25,28,33,34,35,36,41,43,51,54,58,61,62,67,70,79,80,1,36
1338787,1770189000,5,6,9,11,12,19,23,31,34,35,40,44,46,51,52,59,63,66,70,73,1,31
1338788,1770189300,1,2,10,19,25,27,31,33,40,42,44,45,46,51,58,60,62,63,75,78,1,33
1338789,1770189600,1,12,13,16,18,20,24,31,33,37,40,43,45,50,57,62,65,66,68,74,1,16
1338790,1770189900,6,9,18,19,24,25,26,28,29,32,41,49,51,53,58,60,61,65,71,72,1,25
1338791,1770190200,7,8,9,12,16,17,22,39,41,45,48,53,54,55,56,61,68,69,70,74,2,61
1338792,1770190500,1,16,25,28,29,39,44,45,48,49,50,52,55,65,66,68,71,75,76,79,1,1
1338793,1770190800,1,5,6,9,11,14,15,16,21,28,34,36,37,46,63,67,69,71,77,80,2,71
1338794,1770191100,1,3,4,6,7,12,25,34,38,43,47,48,56,64,66,69,70,71,79,80,1,66
1338795,1770191400,7,9,11,14,15,16,19,26,28,30,38,39,41,45,61,70,71,72,73,77,1,19
1338796,1770191700,4,5,7,8,10,11,15,21,29,31,36,37,49,51,59,62,63,64,65,70,1,11
1338797,1770192000,2,6,8,9,17,26,35,37,39,44,47,49,50,62,65,69,70,75,76,79,2,44
1338798,1770192300,6,10,13,15,23,25,30,31,33,36,47,48,49,52,55,59,64,70,73,78,1,23
1338799,1770192600,3,5,11,12,15,16,26,27,35,37,42,47,55,58,59,63,67,71,75,80,2,55
1338800,1770192900,1,2,6,8,14,16,23,25,29,30,33,38,39,43,59,68,72,74,76,78,1,68
1338801,1770193200,1,5,14,15,16,26,29,32,35,42,43,45,46,49,53,55,56,69,76,78,1,78
1338802,1770193500,6,13,19,21,24,27,30,33,36,37,38,41,42,52,55,61,65,72,75,79,2,33
1338803,1770193800,2,3,6,8,11,23,24,32,45,54,55,56,58,61,62,68,74,76,77,78,3,45
1338804,1770194100,1,7,9,11,13,14,24,27,30,31,32,45,51,55,60,61,66,75,76,77,4,61
1338805,1770194400,4,5,6,9,12,13,26,33,37,42,43,44,52,59,60,62,65,75,78,80,2,60
1338806,1770194700,1,9,12,14,15,18,19,31,37,38,43,45,52,53,59,61,63,64,76,80,1,76
1338807,1770195000,13,14,15,24,34,36,41,42,44,45,47,48,51,55,56,57,63,67,78,80,1,44
1338808,1770195300,11,15,18,35,38,40,42,43,44,46,47,50,54,59,61,64,68,70,71,74,1,43
1338809,1770195600,2,6,9,10,14,20,21,23,24,32,35,36,41,42,44,46,50,69,71,80,4,20
1338810,1770195900,2,3,6,11,14,18,19,21,31,32,42,44,56,57,66,68,70,76,79,80,1,68
1338811,1770196200,3,5,7,10,14,21,23,25,30,33,37,38,48,49,53,57,59,69,76,80,1,30
1338812,1770196500,1,2,5,7,8,11,15,24,28,29,32,34,47,59,64,66,67,70,71,72,1,2
1338813,1770196800,4,13,19,20,31,33,37,40,47,49,50,54,61,64,70,73,74,75,77,78,3,70
1338814,1770197100,1,2,3,4,5,8,10,21,23,27,30,33,35,42,53,54,57,64,66,78,2,35
1338815,1770197400,1,2,3,4,6,9,10,25,34,40,49,52,53,54,56,58,63,66,71,73,1,40
1338816,1770197700,7,9,11,17,20,23,28,33,40,41,42,49,54,55,56,58,59,60,71,78,1,71
1338817,1770198000,3,8,12,19,26,29,32,34,36,39,42,44,45,54,56,58,63,64,68,79,2,63
1338818,1770198300,3,9,10,14,16,17,18,30,35,37,43,47,52,62,64,66,72,75,76,80,1,30
1338819,1770198600,2,3,4,6,7,10,17,18,28,29,32,36,38,48,52,55,66,69,71,78,1,7
1338820,1770198900,3,8,14,21,26,27,32,41,42,44,48,51,52,53,63,65,66,67,75,77,2,75
1338821,1770199200,2,5,6,8,10,23,24,35,42,43,45,51,58,60,62,66,68,72,78,79,4,35
1338822,1770199500,1,8,13,17,21,25,26,29,37,38,40,44,47,51,52,56,61,73,74,79,1,21
1338823,1770199800,2,3,16,19,22,26,32,33,34,35,36,48,49,52,57,60,64,66,72,78,3,49
1338824,1770200100,8,15,16,22,23,31,35,39,42,47,50,51,59,60,67,71,72,73,74,75,1,67
1338825,1770200400,2,3,4,5,11,19,20,21,23,32,43,46,49,53,55,57,65,72,78,80,2,20
1338826,1770200700,1,5,6,10,20,21,23,33,35,43,45,52,60,61,63,70,75,76,77,79,1,76
1338827,1770201000,5,9,11,17,31,33,36,37,38,40,41,43,44,45,46,47,49,66,71,79,1,45
1338828,1770201300,4,12,14,19,22,26,31,33,34,36,38,40,42,47,52,59,64,66,70,75,1,33
1338829,1770201600,3,6,11,16,17,21,23,24,28,35,38,40,42,43,45,51,68,72,74,76,1,24
1338830,1770201900,7,13,15,17,18,21,24,26,38,43,48,51,62,64,66,67,68,69,75,76,3,51
1338831,1770202200,4,16,21,22,23,24,25,26,34,36,37,38,45,47,51,62,64,65,70,74,2,62
1338832,1770202500,6,11,14,15,23,25,28,32,39,44,46,53,60,61,62,64,72,74,77,80,2,44
1338833,1770202800,8,14,26,28,29,30,37,47,48,50,54,57,60,62,64,65,66,67,71,76,3,30
1338834,1770203100,10,14,18,21,29,31,33,34,36,37,39,42,45,46,47,60,74,75,77,78,3,45
1338835,1770203400,7,11,13,17,20,26,29,31,34,41,43,44,49,53,61,63,66,77,78,79,4,77
1338836,1770203700,1,5,7,9,14,20,21,22,32,36,38,50,54,58,59,73,75,76,79,80,2,7
1338837,1770204000,3,9,10,12,13,17,18,21,25,28,40,41,43,44,48,49,51,58,62,73,1,44
1338838,1770204300,2,7,8,22,25,31,34,39,40,43,49,60,62,63,65,66,67,68,71,73,1,65
1338839,1770204600,1,8,10,12,16,21,22,27,29,31,32,34,38,41,49,55,65,66,71,72,1,66
1338840,1770204900,12,17,18,24,26,27,28,37,39,47,51,59,64,65,66,67,69,70,76,78,1,39
1338841,1770205200,1,2,3,13,15,22,28,29,33,34,36,39,40,48,55,58,62,69,77,79,3,69
1338842,1770205500,1,6,7,11,13,17,24,44,47,49,50,55,58,59,60,65,66,69,76,78,1,11
1338843,1770205800,5,7,14,18,19,22,23,29,30,35,43,44,46,52,53,54,55,61,64,72,1,22
1338844,1770206100,8,10,21,24,26,33,34,36,39,41,49,51,52,54,57,65,68,73,77,78,1,77
1338845,1770206400,3,5,7,11,12,23,28,30,40,47,49,50,60,61,67,68,70,71,73,75,1,7
1338846,1770206700,1,3,4,16,23,28,29,31,38,40,42,43,47,51,52,56,67,69,70,73,2,1
1338847,1770207000,15,18,22,27,28,32,34,37,39,41,43,47,48,51,53,55,56,59,68,78,1,43
1338848,1770207300,2,4,5,7,8,9,12,15,16,26,29,32,33,37,46,57,62,66,71,79,2,9
1338849,1770207600,2,7,8,11,13,17,20,24,28,32,34,38,39,40,49,53,56,61,68,72,3,49
1338850,1770207900,3,18,20,21,23,24,25,30,33,40,41,42,44,53,64,65,68,69,75,80,2,24
1338851,1770208200,4,5,14,17,21,26,29,31,33,35,36,40,52,53,54,58,61,69,72,75,1,40
1338852,1770208500,1,11,12,15,22,26,28,34,41,43,48,55,58,59,60,61,65,66,71,78,4,1
1338853,1770208800,1,5,6,8,9,18,20,22,30,31,35,48,60,62,63,64,66,68,74,77,1,1
1338854,1770209100,1,7,10,17,18,24,25,26,29,35,37,43,51,59,60,62,71,72,75,77,1,59
1338855,1770209400,2,9,13,14,24,26,27,28,33,35,37,45,46,47,58,62,64,66,71,76,4,47
1338856,1770209700,3,4,5,11,16,20,35,37,38,41,42,44,50,51,52,68,71,73,74,75,1,68
1338857,1770210000,7,12,16,21,34,36,40,42,44,46,47,48,52,54,59,62,66,74,78,79,1,7
1338858,1770210300,6,8,13,16,31,39,41,44,46,54,59,70,71,72,74,75,77,78,79,80,2,71
1338859,1770210600,4,9,17,21,22,25,26,27,30,36,37,43,46,48,52,55,57,66,70,71,2,52
1338860,1770210900,2,6,11,17,20,26,28,29,32,34,36,43,45,46,47,49,50,52,54,65,1,20
1338861,1770211200,4,9,16,18,23,28,33,35,38,41,46,48,53,55,59,61,67,75,76,79,3,48
1338862,1770211500,13,15,20,21,22,25,36,41,45,48,55,56,57,58,59,60,65,67,76,77,1,65
1338863,1770211800,3,6,8,12,14,16,22,23,36,41,42,43,46,48,51,56,59,60,67,77,1,46
1338864,1770212100,4,8,10,12,13,14,25,28,33,35,37,41,42,47,57,60,63,68,74,75,2,60
1338865,1770212400,5,12,13,20,22,39,41,43,46,48,50,54,55,58,67,68,69,74,75,80,2,5
1338866,1770212700,6,9,13,15,16,21,24,27,29,38,41,42,53,54,56,63,65,73,78,80,10,78
1338867,1770213000,5,14,16,19,20,21,27,30,31,34,36,40,43,50,52,57,65,73,74,77,2,21
1338868,1770213300,2,3,8,13,22,26,30,38,41,43,44,46,48,50,51,57,63,66,69,70,2,41
1338869,1770213600,2,5,10,14,16,23,25,26,28,34,38,40,41,55,62,63,64,69,70,72,1,28
1338870,1770213900,1,6,13,15,19,23,27,30,31,41,51,53,54,59,65,68,70,75,78,80,1,23
1338871,1770214200,8,12,14,17,18,20,24,32,34,45,48,49,54,57,58,60,71,76,77,80,1,12
1338872,1770214500,4,11,12,16,21,27,29,30,31,36,37,45,46,51,57,60,61,66,71,74,3,60
1338873,1770214800,4,12,14,15,16,17,26,31,32,35,36,45,47,48,49,50,62,66,70,80,4,66
1338874,1770215100,1,5,7,9,11,13,17,19,24,28,33,35,41,49,51,55,56,57,75,76,1,28
1338875,1770215400,7,15,16,21,24,25,26,36,37,39,40,43,44,46,47,48,50,64,73,76,1,50
1338876,1770215700,2,4,6,8,9,12,14,16,17,21,22,30,32,44,48,50,57,64,73,76,4,57
1338877,1770216000,3,10,18,19,20,21,28,31,32,34,37,40,43,61,62,64,66,68,72,80,1,19
1338878,1770216300,1,8,9,13,14,19,20,32,34,37,38,41,43,45,48,57,58,66,71,76,1,43
1338879,1770216600,1,4,6,10,14,15,20,22,24,30,32,33,35,37,43,49,57,58,69,79,1,32
1338880,1770216900,14,17,18,19,20,21,24,30,31,34,46,48,53,57,59,62,65,72,75,76,1,21
1338881,1770217200,5,6,13,15,20,22,24,35,37,43,48,49,58,63,66,70,72,74,78,80,1,58
1338882,1770217500,8,10,13,15,19,22,24,28,29,30,36,41,42,47,48,49,50,73,77,78,3,50
1338883,1770217800,2,6,12,19,20,26,31,33,34,35,36,40,41,44,45,47,52,54,60,80,1,35
1338884,1770218100,12,13,14,16,18,22,25,26,32,36,38,42,45,47,51,54,59,63,69,74,1,74
1338885,1770218400,3,4,8,12,13,28,32,34,36,38,43,44,45,52,54,55,65,75,76,78,2,54
1338886,1770218700,5,9,11,12,15,16,19,24,33,39,40,41,47,51,54,58,66,72,73,74,1,9
1338887,1770219000,2,10,13,19,20,21,27,28,29,36,39,46,55,60,62,69,70,71,73,80,1,19
1338888,1770219300,5,6,7,10,14,16,20,21,28,32,33,38,42,46,50,66,74,75,76,80,1,14
1338889,1770219600,3,5,10,11,15,25,30,33,36,39,41,43,47,49,51,59,60,72,73,75,1,36
1338890,1770219900,2,28,29,31,34,41,46,49,53,56,57,58,60,62,63,69,74,76,77,80,1,62
1338891,1770220200,2,10,12,13,15,26,28,31,32,34,37,38,46,47,55,56,57,63,71,79,3,26
1338892,1770220500,7,10,15,16,23,27,30,33,34,36,40,41,42,45,49,58,67,72,74,77,1,72
1338893,1770220800,5,9,19,23,27,37,41,45,46,48,51,57,65,66,71,73,75,77,78,79,1,27
1338894,1770221100,2,3,5,8,9,11,21,27,32,42,47,52,55,63,65,68,71,73,75,77,4,77
1338895,1770221400,2,8,9,13,15,17,28,37,42,44,46,47,50,54,62,66,68,72,73,74,1,68
1338896,1770221700,2,3,6,8,11,13,19,24,32,37,41,42,45,56,57,59,69,72,74,77,1,6
1338897,1770222000,5,11,13,14,18,21,25,29,36,40,47,51,53,58,59,60,70,72,74,75,3,40
1338898,1770222300,4,12,16,20,21,24,26,31,38,57,61,62,65,67,68,70,71,72,76,79,1,72
1338899,1770222600,3,4,6,7,11,14,15,19,23,31,35,36,49,56,59,60,64,66,71,73,2,23
1338900,1770222900,3,5,8,12,16,18,21,30,35,39,44,49,51,62,65,69,70,75,79,80,2,65
1338901,1770223200,1,3,6,10,14,17,28,29,37,40,53,55,56,57,58,60,61,62,75,77,10,75
1338902,1770223500,4,10,13,19,20,25,27,32,33,42,46,52,57,58,59,62,66,72,73,80,2,62
1338903,1770223800,7,8,11,13,26,36,39,44,45,46,52,56,57,61,63,65,66,70,71,76,2,63
1338904,1770224100,1,3,5,9,10,24,25,29,32,37,39,41,44,45,46,48,56,67,68,78,1,44
1338905,1770224400,2,4,9,19,26,29,32,34,35,39,49,55,57,58,59,60,61,69,73,77,3,34
1338906,1770224700,4,8,10,16,18,22,37,39,43,44,46,47,48,51,56,62,69,72,76,79,1,8
1338907,1770225000,1,3,5,6,9,12,19,20,21,27,28,34,47,51,52,55,56,63,69,70,1,51
1338908,1770225300,5,15,17,23,28,29,30,33,35,38,39,41,46,47,48,52,63,64,69,78,3,33
1338909,1770225600,11,15,17,18,19,22,23,25,28,30,33,39,45,48,49,54,61,67,71,79,1,54
1338910,1770225900,8,9,20,22,26,27,30,32,41,43,45,46,47,51,63,66,68,69,79,80,1,79
1338911,1770226200,2,12,13,16,17,18,21,22,25,28,32,34,37,38,45,49,50,53,74,79,2,16
1338912,1770226500,1,2,5,6,8,12,22,25,26,27,33,46,47,50,58,62,65,69,77,79,1,47
1338913,1770226800,3,5,16,18,33,36,37,40,42,47,50,59,61,62,64,71,74,76,77,78,2,74
1338914,1770227100,10,15,18,20,36,38,41,42,43,46,53,58,62,64,66,68,69,70,74,75,1,70
1338915,1770227400,2,4,5,6,9,16,17,18,19,26,39,42,46,47,50,54,59,66,70,76,2,17
1338916,1770227700,9,15,16,18,20,23,26,29,45,46,53,58,60,61,62,64,65,68,74,79,2,74
1338917,1770228000,1,6,14,16,17,24,27,32,34,41,43,47,50,58,61,63,67,68,70,79,4,16
1338918,1770228300,4,6,8,13,16,20,21,30,31,45,50,52,62,63,66,72,73,76,77,79,10,20
1338919,1770228600,4,14,15,18,21,25,26,43,56,57,60,61,64,68,69,71,73,74,76,80,1,71
1338920,1770228900,3,7,15,18,21,22,25,28,32,34,36,47,48,53,54,60,61,68,72,77,1,36
1338921,1770229200,1,7,23,25,30,31,34,38,40,42,43,47,50,52,62,64,68,69,70,72,1,70
1338922,1770229500,1,2,11,14,17,20,23,27,29,31,39,40,41,48,54,56,60,68,72,73,2,23
1338923,1770229800,5,8,10,12,14,17,23,26,27,35,36,39,41,45,61,63,66,67,72,76,3,5
1338924,1770230100,2,7,20,21,23,25,26,28,31,35,43,45,46,52,60,63,64,69,71,78,1,23
1338925,1770230400,1,6,9,13,17,21,23,24,38,51,55,59,64,65,67,68,70,75,76,77,2,9
1338926,1770230700,5,6,11,12,16,17,18,27,28,31,35,39,49,52,53,54,62,64,74,80,2,52
1338927,1770231000,1,13,15,18,20,21,28,30,33,34,36,37,38,46,48,50,54,65,66,74,1,33
1338928,1770231300,1,2,12,15,18,21,28,32,33,35,41,47,48,55,60,68,70,76,79,80,3,2
1338929,1770231600,1,3,5,6,18,21,25,26,29,30,35,45,46,52,58,66,69,72,78,80,1,1
1338930,1770231900,5,12,17,18,19,24,28,33,40,42,45,49,57,59,60,65,75,77,78,79,1,12
1338931,1770232200,3,8,9,10,12,14,16,19,21,23,29,31,40,43,52,55,56,68,70,72,1,9
1338932,1770232500,2,3,5,6,9,15,24,26,34,35,38,39,45,53,57,58,68,69,70,77,1,45
1338933,1770232800,4,12,19,21,22,25,34,38,41,43,45,51,55,63,64,68,72,76,78,79,2,12
1338934,1770233100,4,5,8,12,14,19,26,29,30,37,41,43,45,50,51,58,63,71,72,74,1,5
1338935,1770233400,1,4,10,16,18,20,23,31,34,38,39,42,43,48,51,59,62,64,66,69,2,18
1338936,1770233700,7,8,9,19,23,25,30,32,34,39,43,47,53,57,58,61,64,71,72,73,1,34
1338937,1770234000,5,7,8,9,12,17,23,31,32,35,36,39,40,41,51,52,55,60,71,78,2,8
1338938,1770234300,6,7,8,9,13,20,23,29,31,34,36,37,40,41,54,68,71,76,78,79,3,7
1338939,1770234600,2,3,8,29,35,38,45,46,49,51,52,54,56,59,61,62,63,71,75,76,2,29
1338940,1770234900,6,9,11,14,16,33,40,43,49,51,53,59,60,63,65,68,69,71,74,75,2,11
1338941,1770235200,5,8,10,14,15,16,19,22,43,48,50,51,56,59,63,64,65,75,78,80,4,19
1338942,1770235500,1,3,14,15,16,17,18,35,39,41,42,44,52,56,61,65,66,68,76,79,1,68
1338943,1770235800,1,12,18,19,26,31,33,34,47,50,55,60,63,65,66,67,68,73,74,77,1,33
1338944,1770236100,2,6,9,10,15,17,19,24,29,30,33,36,42,47,49,50,52,56,60,70,3,30
1338945,1770236400,1,6,9,10,17,22,23,25,27,29,31,33,47,60,65,67,69,70,77,78,1,65
1338946,1770236700,1,5,8,10,11,17,18,23,24,26,27,33,35,45,54,56,62,71,72,79,1,72
1338947,1770237000,1,13,14,15,16,18,23,24,33,37,40,45,46,50,57,61,64,66,68,72,1,50
1338948,1770237300,7,10,12,20,21,28,33,37,47,54,57,58,64,68,71,75,77,78,79,80,3,58
1338949,1770237600,6,10,12,15,20,23,26,28,36,37,41,44,45,49,52,55,57,67,69,71,1,52
1338950,1770237900,8,12,13,20,26,29,32,36,38,43,44,46,55,57,65,66,71,74,78,80,1,13
1338951,1770238200,9,11,17,19,26,28,31,32,40,41,46,51,53,54,58,59,67,68,72,75,4,53
1338952,1770238500,3,4,8,10,15,20,31,32,42,48,50,52,57,60,71,73,75,77,78,79,2,31
1338953,1770238800,3,4,7,18,20,25,31,35,37,43,44,47,50,56,59,60,62,69,72,78,3,59
1338954,1770239100,5,9,10,12,19,21,24,26,29,32,33,51,60,65,67,70,72,73,75,76,1,76
1338955,1770239400,6,8,9,21,22,25,27,35,43,47,49,53,56,57,58,59,67,72,74,79,3,59
1338956,1770239700,2,6,11,12,21,23,31,32,33,38,40,44,45,49,56,59,66,67,78,80,1,45
1338957,1770240000,2,6,15,16,19,22,26,27,28,33,36,46,48,53,55,57,64,72,74,78,1,19
1338958,1770240300,3,4,5,14,15,16,18,20,26,31,40,45,46,59,63,64,65,67,77,80,4,18
1338959,1770240600,1,7,10,24,26,29,31,33,34,35,43,44,47,50,52,55,64,72,77,78,1,7
1338960,1770240900,1,3,7,14,15,16,21,29,32,33,40,44,48,54,59,63,72,74,79,80,1,1
1338961,1770241200,5,7,18,32,35,36,38,40,45,49,50,55,56,59,62,66,67,75,78,80,2,18
1338962,1770241500,1,4,5,10,12,18,20,27,29,37,44,47,50,52,55,56,59,72,75,76,1,76
1338963,1770241800,5,8,11,20,25,29,33,34,39,40,42,48,50,52,53,58,72,76,77,79,1,11
1338964,1770242100,4,5,7,10,15,16,33,37,38,40,47,48,51,55,59,61,66,67,75,77,1,66
1338965,1770242400,9,15,17,19,21,24,26,31,33,35,39,40,50,52,53,59,68,75,77,78,2,35
1338966,1770267900,4,7,9,16,17,21,23,25,26,27,39,54,57,59,67,69,71,72,73,80,4,9
1338967,1770268200,3,4,7,14,17,22,23,25,26,45,55,60,69,71,72,74,76,77,78,80,1,78
1338968,1770268500,1,2,3,4,7,10,15,30,31,33,38,41,45,47,55,56,63,65,68,76,3,10
1338969,1770268800,3,5,9,10,18,26,27,34,36,37,41,42,45,55,57,59,66,71,72,80,1,9
1338970,1770269100,7,9,14,21,29,33,34,36,37,38,39,45,46,51,63,64,65,68,70,72,2,7
1338971,1770269400,1,11,18,23,27,32,37,41,42,46,47,63,64,65,66,70,71,74,76,79,1,42
1338972,1770269700,3,7,12,13,15,19,23,29,31,34,36,40,43,54,55,56,64,68,71,77,1,12
1338973,1770270000,3,6,8,9,10,12,15,27,28,32,34,38,40,41,46,52,66,69,75,80,1,69
1338974,1770270300,2,4,10,11,12,13,15,30,35,36,39,41,42,44,49,51,63,64,71,73,3,36
1338975,1770270600,1,9,12,13,18,19,23,24,25,26,43,46,48,49,51,64,67,69,70,80,1,43
1338976,1770270900,6,9,15,16,17,18,26,28,31,33,38,42,43,44,47,51,64,65,70,73,2,64
1338977,1770271200,3,10,16,19,22,27,31,34,39,41,44,50,52,54,60,64,71,74,76,79,2,27
1338978,1770271500,3,4,6,8,9,13,18,21,32,34,47,50,51,52,59,64,67,70,72,78,1,52
1338979,1770271800,9,10,18,20,22,23,31,33,34,35,39,40,43,47,54,70,71,74,75,79,3,40
1338980,1770272100,5,6,12,14,20,21,29,35,38,39,49,50,51,52,57,61,62,63,69,73,3,69
1338981,1770272400,11,15,18,22,28,29,31,35,36,39,46,51,54,56,57,61,72,73,74,77,1,15
1338982,1770272700,10,14,16,23,33,38,39,42,43,48,49,50,56,64,65,67,68,70,71,73,4,67
1338983,1770273000,1,2,5,11,14,28,31,33,39,42,44,52,53,55,58,60,66,69,75,76,1,28
1338984,1770273300,3,4,12,18,19,20,25,30,31,35,37,39,42,43,45,56,60,62,63,80,3,62
1338985,1770273600,4,6,8,9,10,11,16,25,26,35,39,40,42,52,55,56,63,72,78,79,2,79
1338986,1770273900,2,3,6,9,11,14,23,26,27,39,50,54,55,59,62,63,66,67,72,76,3,55
1338987,1770274200,11,14,19,22,25,27,31,32,33,35,42,47,48,50,52,53,61,63,65,76,2,19
1338988,1770274500,8,9,13,17,20,26,34,39,44,49,50,52,61,63,64,67,75,76,77,78,2,39
1338989,1770274800,3,6,10,13,15,21,22,25,31,44,49,51,62,68,69,71,72,74,76,78,2,76
1338990,1770275100,2,9,12,16,19,24,25,26,27,31,32,36,38,44,57,61,62,71,74,79,1,61
1338991,1770275400,3,18,24,25,30,32,38,39,40,41,42,43,45,52,60,64,65,66,68,75,1,68
1338992,1770275700,1,8,10,11,13,15,35,36,37,38,41,44,47,48,49,54,57,63,72,74,1,72
1338993,1770276000,2,5,15,17,19,26,31,32,39,41,44,48,52,56,63,66,67,69,71,80,2,52
1338994,1770276300,1,2,7,16,21,23,24,26,30,31,32,35,44,45,51,54,56,62,64,77,1,2
1338995,1770276600,1,5,15,23,24,25,31,32,39,41,45,47,51,59,62,63,67,69,73,76,1,25
1338996,1770276900,3,8,15,17,18,19,28,30,31,32,38,44,45,49,64,68,74,75,76,77,10,18
1338997,1770277200,2,4,5,7,10,11,13,24,27,31,34,39,46,48,58,64,72,73,75,76,1,76
1338998,1770277500,2,4,14,17,19,21,29,31,32,33,34,44,51,57,64,66,67,68,71,80,1,80
1338999,1770277800,2,5,14,15,18,19,27,31,36,38,41,45,47,58,60,63,71,75,77,78,2,38
1339000,1770278100,5,6,7,19,22,24,25,29,38,45,46,47,50,52,62,69,71,73,74,75,3,29
1339001,1770278400,2,14,21,25,26,41,42,44,45,54,55,56,57,58,60,63,65,67,76,80,1,21
1339002,1770278700,1,18,23,24,26,29,34,37,39,41,44,49,56,60,61,62,67,68,69,80,1,41
1339003,1770279000,4,10,17,20,22,24,34,36,39,44,51,52,55,57,62,63,66,68,72,76,1,68
1339004,1770279300,7,16,18,21,24,25,28,33,34,36,40,41,48,49,52,54,58,66,69,72,1,72
1339005,1770279600,13,18,24,25,26,27,28,32,36,37,39,47,54,59,61,62,67,70,72,80,1,25
1339006,1770279900,2,11,17,19,23,26,29,37,45,47,53,56,59,60,63,65,67,71,73,77,1,65
1339007,1770280200,5,10,14,16,18,23,33,35,36,37,39,40,42,44,55,67,68,77,78,80,1,37
1339008,1770280500,9,11,14,15,16,20,25,29,30,35,40,43,44,52,58,60,63,66,68,76,2,11
1339009,1770280800,1,3,4,8,11,12,15,18,38,42,49,51,56,58,60,66,68,70,71,79,3,11
1339010,1770281100,2,8,11,12,14,18,20,28,29,30,35,39,47,48,55,58,69,72,74,78,1,28
1339011,1770281400,2,6,8,10,11,14,19,22,27,36,40,54,55,56,58,61,64,71,72,80,1,56
1339012,1770281700,2,3,5,6,10,24,27,29,31,43,44,45,48,58,59,62,63,65,68,79,1,27
1339013,1770282000,3,4,18,25,29,32,36,40,41,47,50,52,58,59,61,63,68,71,73,77,1,77
1339014,1770282300,2,3,6,8,11,14,16,24,25,28,34,38,45,47,56,61,64,69,70,73,1,47
1339015,1770282600,2,3,8,12,29,31,33,47,49,51,52,56,62,63,65,68,71,73,75,80,10,80
1339016,1770282900,1,5,8,12,15,16,18,23,26,31,33,35,42,43,44,59,61,68,69,70,1,12
1339017,1770283200,2,3,6,7,9,16,20,30,31,33,36,42,47,56,57,59,63,64,67,74,2,63
1339018,1770283500,4,12,15,19,21,28,32,33,40,41,42,58,59,61,62,63,66,76,77,79,2,79
1339019,1770283800,5,6,7,10,11,12,13,20,25,31,32,37,40,45,47,50,51,74,76,79,2,11
1339020,1770284100,6,7,12,13,16,17,19,20,21,37,39,47,52,53,59,63,66,69,74,80,1,37
1339021,1770284400,12,15,16,23,25,27,29,30,36,37,40,42,51,59,61,70,73,74,76,79,3,74
1339022,1770284700,5,7,12,15,18,25,33,34,37,38,39,40,44,61,63,69,72,75,76,78,1,75
1339023,1770285000,1,4,6,13,23,24,27,31,36,38,39,40,48,49,58,59,60,71,73,77,2,40
1339024,1770285300,3,4,5,9,15,20,28,31,36,38,41,42,50,51,59,60,66,67,72,74,5,74
1339025,1770285600,1,2,3,9,19,25,33,34,40,41,43,45,46,55,56,57,58,63,64,68,1,25
1339026,1770285900,3,16,18,22,26,28,32,35,37,45,46,49,55,56,57,63,64,67,70,75,4,49
1339027,1770286200,3,13,17,20,22,27,31,38,42,44,47,52,56,66,67,71,74,75,79,80,2,80
1339028,1770286500,3,4,5,6,7,10,27,28,34,38,39,43,50,51,54,62,64,67,68,73,1,73
1339029,1770286800,3,6,8,13,14,17,24,28,32,35,36,40,44,45,52,53,59,61,70,72,1,28
1339030,1770287100,5,9,10,13,16,21,35,38,39,41,45,47,50,51,53,54,55,57,75,77,3,45
1339031,1770287400,1,6,7,8,10,16,18,22,33,34,36,39,42,50,53,55,58,60,67,78,1,39
1339032,1770287700,7,10,12,16,17,20,25,29,31,34,35,41,43,45,59,60,62,64,70,73,2,62
1339033,1770288000,3,9,12,15,19,21,23,28,40,45,49,53,54,59,60,63,71,74,76,78,3,60
1339034,1770288300,1,2,15,16,19,20,22,23,25,28,32,35,48,49,59,61,68,71,78,80,2,16
1339035,1770288600,1,6,15,16,19,20,29,30,38,50,52,54,56,57,59,64,65,68,70,73,1,65
1339036,1770288900,3,5,14,15,19,20,32,39,40,51,53,56,57,66,68,72,74,75,77,80,3,15
1339037,1770289200,5,6,9,14,15,16,18,19,25,34,36,38,42,43,61,67,68,74,75,79,1,74
1339038,1770289500,1,2,7,8,15,19,20,21,23,28,40,52,55,56,58,59,60,68,70,77,1,77
1339039,1770289800,2,3,5,8,10,19,20,22,23,25,28,47,52,54,58,60,68,73,74,75,2,52
